Sequence,RawData,Position384,OriginalSequence
75,21.3247,Plate 3 I21,325
83,21.0947,Plate 3 K21,326
91,20.9263,Plate 3 M21,327
99,20.3535,Plate 3 O21,328
107,21.9218,Plate 3 B21,329
115,21.4755,Plate 3 D21,330
123,21.1137,Plate 3 F21,331
131,21.8985,Plate 3 H21,332
139,21.6001,Plate 3 J21,333
147,23.9179,Plate 3 L21,334
155,30.0581,Plate 3 N21,335
163,25.1964,Plate 3 P21,336
171,37.1452,Plate 3 B19,337
179,21.6748,Plate 3 D19,338
187,21.3206,Plate 3 F19,339
195,23.1356,Plate 3 H19,340
203,22.9593,Plate 3 J19,341
211,25.9603,Plate 3 L19,342
219,22.4135,Plate 3 N19,343
227,19.9617,Plate 3 P19,344
235,20.9882,Plate 3 B18,345
243,22.2835,Plate 3 D18,346
251,1137.6774,Plate 3 F18,347
259,65.3576,Plate 3 H18,348
267,42.1012,Plate 3 J18,349
275,24.3413,Plate 3 L18,350
283,21.5953,Plate 3 N18,351
291,20.4919,Plate 3 P18,352
299,26.1083,Plate 3 B17,353
307,23.5365,Plate 3 D17,354
315,39.7165,Plate 3 F17,355
DMSO,18.7948,Plate 3 H17,356
323,27.7891,Plate 3 J17,357
331,25.8995,Plate 3 L17,358
339,23.6001,Plate 3 N17,359
347,32.2636,Plate 3 P17,360
355,24.016,Plate 3 B12,361
363,24.7174,Plate 3 D12,362
371,27.4115,Plate 3 F12,363
379,131.9269,Plate 3 H12,364
387,25.256,Plate 3 J12,365
395,26.4986,Plate 3 L12,366
403,27.1837,Plate 3 N12,367
411,21.963,Plate 3 P12,368
419,21.9355,Plate 3 B22,369
427,22.6535,Plate 3 D22,370
435,27.0825,Plate 3 F22,371
443,22.1748,Plate 3 H22,372
451,23.5893,Plate 3 J22,373
459,20.8015,Plate 3 L22,374
467,25.5907,Plate 3 N22,375
475,20.8133,Plate 3 P22,376
483,21.4686,Plate 3 B15,377
491,19.9278,Plate 3 D15,378
499,32.0528,Plate 3 F15,379
507,22.4937,Plate 3 H15,380
515,251.5061,Plate 3 J15,381
523,53.7891,Plate 3 L15,382
531,39.1536,Plate 3 N15,383
539,200.2395,Plate 3 P15,384
547,30.7663,Plate 3 A3,385
555,160.2795,Plate 3 C3,386
563,56.0356,Plate 3 E3,387
571,48.4359,Plate 3 G3,388
579,36.6943,Plate 3 I3,389
587,33.8466,Plate 3 K3,390
595,30.5009,Plate 3 M3,391
603,29.5517,Plate 3 O3,392
611,29.9829,Plate 3 A4,393
